epoch,rank0,rank1,rank2,rank3,acc,loss,val_acc,val_loss,low_rank_0_eff_rank,low_rank_1_eff_rank,low_rank_2_eff_rank,low_rank_3_eff_rank
0,80,60,60,5,0.20523999631404877,2.0873072147369385,0.25779998302459717,1.9545868635177612,4.2165055,3.8810623,3.9025533,1.4989433
1,80,60,60,5,0.30021998286247253,1.905096411705017,0.3312999904155731,1.8240872621536255,4.147079,3.802263,3.8444655,1.525005
2,80,60,60,5,0.3427799940109253,1.8062872886657715,0.34860000014305115,1.8028749227523804,4.0778847,3.7365978,3.7797554,1.5399814
3,80,60,60,5,0.370279997587204,1.7343897819519043,0.3950999975204468,1.6671143770217896,4.026489,3.7037804,3.7496233,1.5481703
4,80,60,60,5,0.3912599980831146,1.6779687404632568,0.4039999842643738,1.689037799835205,3.9775262,3.6636593,3.7023478,1.55295
5,80,60,60,5,0.41169998049736023,1.6272515058517456,0.3594000041484833,1.8248927593231201,3.9351382,3.637211,3.6755764,1.5506856
6,80,60,60,5,0.4247799813747406,1.5986328125,0.41519999504089355,1.6361615657806396,3.8974807,3.6192565,3.6547766,1.545172
7,80,60,60,5,0.432919979095459,1.569626808166504,0.430899977684021,1.5754129886627197,3.866933,3.6056743,3.6425333,1.5464866
8,80,60,60,5,0.44689998030662537,1.5387723445892334,0.45350000262260437,1.5528419017791748,3.8412912,3.5930188,3.6227312,1.5411079
9,80,60,60,5,0.45405998826026917,1.51449453830719,0.42389997839927673,1.6215325593948364,3.819577,3.580323,3.6131678,1.5465147
10,80,60,60,5,0.462039977312088,1.4917776584625244,0.46709999442100525,1.4862955808639526,3.8006675,3.5690658,3.5975685,1.5490963
11,80,60,60,5,0.4697199761867523,1.4732110500335693,0.4502999782562256,1.5520905256271362,3.7830145,3.5607696,3.5862722,1.5529429
12,80,60,60,5,0.47881999611854553,1.450230598449707,0.45319998264312744,1.5576223134994507,3.7694511,3.5556471,3.571372,1.551243
13,80,60,60,5,0.4838399887084961,1.4349913597106934,0.4693000018596649,1.4956753253936768,3.7589505,3.5584958,3.567415,1.5510682
14,80,60,60,5,0.49049997329711914,1.4164440631866455,0.44259998202323914,1.5573811531066895,3.749418,3.562214,3.5624928,1.5518878
15,80,60,60,5,0.49932000041007996,1.3961265087127686,0.4487999975681305,1.5597504377365112,3.738831,3.5569305,3.5488374,1.5566155
16,80,60,60,5,0.5030800104141235,1.3832675218582153,0.47999998927116394,1.4835091829299927,3.7329748,3.559354,3.5348186,1.553587
17,80,60,60,5,0.5102999806404114,1.3673310279846191,0.48099997639656067,1.4732857942581177,3.72864,3.5633953,3.5342617,1.5572779
18,80,60,60,5,0.51419997215271,1.3536906242370605,0.48089998960494995,1.4639148712158203,3.7253122,3.5668046,3.5219548,1.5580108
19,80,60,60,5,0.5204200148582458,1.3351476192474365,0.4797999858856201,1.476088523864746,3.7210543,3.568844,3.5229082,1.5579342
20,80,60,60,5,0.5220800042152405,1.3242201805114746,0.47849997878074646,1.4873260259628296,3.719234,3.571597,3.5188227,1.5552123
21,80,60,60,5,0.5295599699020386,1.3095096349716187,0.5016999840736389,1.4320086240768433,3.7173336,3.5745466,3.5118823,1.5550283
22,80,60,60,5,0.536579966545105,1.2964708805084229,0.47279998660087585,1.525312900543213,3.7158515,3.5792892,3.5082045,1.5601355
23,80,60,60,5,0.5421599745750427,1.2827529907226562,0.4851999878883362,1.4640576839447021,3.7148216,3.5832386,3.5046635,1.5495063
24,80,60,60,5,0.5448399782180786,1.2686750888824463,0.5030999779701233,1.4577046632766724,3.7135284,3.588227,3.5049314,1.5461086
25,80,60,60,5,0.5491200089454651,1.2573515176773071,0.4723999798297882,1.572727918624878,3.7133648,3.593088,3.501883,1.5466596
26,80,60,60,5,0.5533599853515625,1.2457159757614136,0.4926999807357788,1.46484375,3.7130718,3.598014,3.505497,1.5520914
27,80,60,60,5,0.5559399724006653,1.2337788343429565,0.49069997668266296,1.5153130292892456,3.715741,3.6022184,3.5030289,1.548486
28,80,60,60,5,0.5616599917411804,1.2218552827835083,0.5080999732017517,1.4437367916107178,3.7171922,3.609343,3.5064569,1.5452092
29,80,60,60,5,0.5656200051307678,1.210935354232788,0.49399998784065247,1.4690871238708496,3.7174087,3.6134684,3.5036166,1.5446559
