,epoch,rank1,rank2,acc,loss,val_acc,val_loss,layer_1_eff_rank,layer_3_eff_rank
0,0,100,10,0.2897000014781952,1.9439529180526731,0.3587999939918518,1.7936632633209229,4.3870044,2.1433043
1,1,100,10,0.3716999888420105,1.7461729049682615,0.3621000051498413,1.7924962043762207,4.301141,2.1365817
2,2,100,10,0.4051799774169922,1.6599669456481934,0.4312999844551086,1.6132183074951172,4.230028,2.1320283
3,3,100,10,0.4288599789142608,1.6012848615646362,0.4296000003814697,1.6266932487487793,4.171913,2.1411061
4,4,100,10,0.4457399845123291,1.558372974395752,0.4377000033855438,1.5781553983688354,4.1210437,2.1416304
5,5,100,10,0.4559800028800964,1.526450276374817,0.4582999944686889,1.523362636566162,4.077846,2.145419
6,6,100,10,0.4663399755954742,1.5002882480621338,0.4611999988555908,1.519748568534851,4.044684,2.1501749
7,7,100,10,0.4769999980926513,1.472187876701355,0.4535999894142151,1.5314600467681885,4.014143,2.1480193
8,8,100,10,0.4847399890422821,1.4492429494857788,0.4678999781608581,1.495257019996643,3.9931786,2.1421478
9,9,100,10,0.4910999834537506,1.429334282875061,0.4659999907016754,1.4844017028808594,3.9752522,2.1454546
10,10,100,10,0.4994599819183349,1.409962177276611,0.4900999963283539,1.4402092695236206,3.9611466,2.142428
11,11,100,10,0.5060799717903137,1.3908430337905884,0.4466999769210815,1.543407917022705,3.94797,2.1435046
12,12,100,10,0.5136600136756897,1.3718063831329346,0.4632000029087066,1.521897554397583,3.9378831,2.1415596
13,13,100,10,0.5174999833106995,1.3567445278167725,0.5001000165939331,1.4199674129486084,3.929224,2.140663
14,14,100,10,0.522819995880127,1.3424246311187744,0.4918999969959259,1.442483901977539,3.9234211,2.1434329
15,15,100,10,0.5281800031661987,1.3265457153320312,0.4993999898433685,1.4270256757736206,3.9165156,2.1365573
16,16,100,10,0.5342000126838684,1.3122628927230835,0.5006999969482422,1.4217236042022705,3.9121478,2.1350846
17,17,100,10,0.5388399958610535,1.2980831861495972,0.4592999815940857,1.534448504447937,3.9102182,2.13644
18,18,100,10,0.544160008430481,1.2863425016403198,0.4943999946117401,1.4347950220108032,3.9088786,2.1336966
19,19,100,10,0.5470199584960938,1.2738674879074097,0.4940999746322632,1.437735915184021,3.9086435,2.131851
20,20,100,10,0.5522800087928772,1.262526035308838,0.508899986743927,1.3806113004684448,3.9092588,2.1256173
21,21,100,10,0.5534999966621399,1.2521008253097534,0.4979999959468841,1.4569756984710691,3.9070399,2.1306446
22,22,100,10,0.5576800107955933,1.2416484355926514,0.5134999752044678,1.3699570894241333,3.908568,2.1317718
