epoch,loss,acc,layer_0,layer_1,layer_2,layer_3,val_loss,val_acc
0,2.1699424,0.1705,89.42913202924622,89.3755549402538,89.62315191581136,74.16656791868674,2.0785432,0.1907
1,2.0907826,0.21862,40.72527473944801,75.65180312789337,86.00037090479115,,2.0902991,0.2133
2,1.8338032,0.2807,82.87521494775478,84.39774081412172,88.57120405081857,,1.845146,0.2958
3,1.9162648,0.31432,61.32315136605535,83.56797308575396,87.61205523097303,,1.8847289,0.287
4,1.814909,0.34742,77.39155023237643,83.60510512088972,88.82717909015089,37.075898739796656,1.7712567,0.3606
5,1.6419178,0.37398,29.311891504573353,65.5297853937635,85.1717766208948,,1.7813791,0.3523
6,1.6414036,0.393,60.349023456978436,64.1875933427175,86.93249921209375,,1.6735562,0.3919
7,1.6576538,0.41138,49.856036311436064,74.30935304380507,87.78693628885092,,1.6962029,0.3837
8,1.7573305,0.42338,64.12634721960686,75.85536133899693,88.01779414967012,,1.6250336,0.413
9,1.492445,0.43684,47.66865559908988,71.61102457060676,87.58396687463696,,1.5899475,0.4256
10,1.4877696,0.44102,68.55628465936209,80.78237816381436,88.9838943486304,,1.5827142,0.4295
11,1.5433915,0.45262,76.16912769274212,70.60350050574519,87.15581799378248,24.018038381667306,1.6289117,0.4166
12,1.4846025,0.45964,65.44782899702042,72.8153214076208,88.07082458216661,,1.5220014,0.4583
13,1.4629183,0.46474,31.695427950465866,56.047181996148424,86.03561691295553,,1.5774217,0.4321
14,1.577569,0.47014,49.851678426133375,62.89007242523131,87.48561440312545,,1.5461893,0.4503
15,1.459512,0.4775,69.06403354378152,79.10430127568763,88.60489320926087,,1.5073711,0.461
16,1.7307847,0.48196,,,84.43027318053012,,1.6639674,0.4314
17,1.3273466,0.48746,61.61170186756891,64.65835574055554,86.96229311700228,,1.5140158,0.4688
18,1.3572156,0.49112,,22.007335412102154,83.66987101220339,,1.5198809,0.4707
19,1.5120842,0.49672,70.29193955968843,74.89780369558984,88.67951051853808,,1.4504648,0.4864
20,1.2376621,0.4992,62.34904230446255,68.32016984820892,87.74094186570883,,1.471826,0.4808
21,1.5936512,0.50512,66.09990963970077,78.95861867706404,89.17706381971287,,1.4657412,0.4853
22,1.4207213,0.5084,37.409064005553034,56.39115958605736,87.45637094164329,,1.5379816,0.4597
23,1.2241992,0.51142,,,83.56407226726226,,1.5361052,0.4666
24,1.2185127,0.51622,24.91509634133121,29.24997891294341,85.2021747084156,,1.473808,0.4862
25,1.4615797,0.51884,65.5269307759773,61.17773562247211,86.88048498727096,,1.4714283,0.4867
26,1.3344694,0.52376,,35.74010816343909,86.38905929363139,,1.5227385,0.472
27,1.1233767,0.52498,69.07998780697147,66.29080759322908,87.96335943483673,,1.4644275,0.4883
28,1.2993317,0.52824,63.78283461345886,67.77386270487062,87.5719325397162,,1.4447652,0.4952
29,1.3844303,0.53062,53.51486853851009,,85.51212523061562,,1.5504594,0.4529
30,1.3475274,0.53266,,49.1628589171388,86.71114997622072,,1.4903992,0.476
31,1.3153836,0.5355,,55.60488667208218,86.96031670966178,,1.4801002,0.4768
32,1.0996579,0.54132,,,80.66797810537906,,1.5723271,0.4591
33,1.1386261,0.53986,48.61268932804172,59.71391547604442,87.4720321159876,,1.4482182,0.5003
34,1.2963989,0.54516,43.45230459196545,44.45261447427712,86.55519303516007,,1.4909152,0.4878
35,1.1674249,0.5452,56.43580601854279,61.88314262283525,86.96282422312143,,1.445675,0.4958
36,1.3462101,0.5473,,,82.51608205124809,,1.4964315,0.4813
37,1.1243538,0.55282,70.16397252060338,65.31070871205706,87.92261822721215,,1.4321308,0.5093
38,1.194422,0.55296,63.86124203447014,53.94735468493845,87.15635654210077,,1.4740036,0.491
39,1.362163,0.55312,50.18111010311086,59.397336286228686,86.82935587047827,,1.4693797,0.4917
40,0.9712585,0.55706,,38.86212536644663,86.1529341928163,,1.5150651,0.4884
41,1.1631644,0.55888,59.901058987917516,52.39669877631357,85.8284132423953,,1.4855907,0.4857
42,1.1676915,0.55916,67.85926262355322,70.47556771156485,88.71306448784291,51.67119014027875,1.4428314,0.4947
43,1.1263304,0.56134,30.686940216179732,53.720781948632215,86.41303721876818,,1.4694384,0.5004
44,1.20347,0.56474,62.36973672721149,42.909658896135404,86.16710200537052,,1.4600126,0.5033
45,1.0714613,0.56606,46.663490030874115,29.021836986330634,86.15541335831472,,1.5074747,0.4811
46,1.1272732,0.56742,53.118173500525515,48.24227229880504,87.14248348558665,,1.4446709,0.5079
47,1.0114315,0.56924,,,80.32103108764586,,1.5368133,0.4772
48,1.2479675,0.57108,42.14782915240499,54.179639579418385,86.33589457961033,,1.4839293,0.4938
49,1.3277977,0.57282,16.565196660391106,,79.21319712337014,,1.6247115,0.4593
50,1.1445615,0.5742,64.94358197705479,47.85657967189367,85.20504245626795,,1.4726937,0.5118
51,1.1492095,0.57694,23.28947391145249,20.836069209412493,85.34473670062745,,1.5209922,0.4875
52,1.0714923,0.57674,46.358120618669915,43.93883527627268,84.23942403102834,,1.4860728,0.4948
53,1.0426066,0.57904,55.18704063978262,49.935870177607974,86.57890221355964,,1.4806082,0.4959
