epoch,loss,acc,layer_0,layer_1,layer_2,layer_3,val_loss,val_acc
0,2.0059276,0.17038,,71.80533882039047,75.31901402312441,,2.230977,0.1647
1,2.044672,0.21474,87.94209722362046,89.03425294603979,89.35989935108421,62.12404146684085,1.9472406,0.257
2,1.831454,0.27168,,72.08397653131276,80.46864420557064,,1.9729266,0.2623
3,1.8771343,0.3077,84.61814456919227,88.86612861289919,89.34048829932613,64.73464454305272,1.7989842,0.3235
4,1.805204,0.33588,82.8082649142269,85.37137395520469,87.98419849577215,55.38124919449866,1.7441057,0.3589
5,1.6880459,0.36224,81.99001776274167,86.66544730206482,89.00309053879131,60.66887356780294,1.685121,0.386
6,1.6383431,0.37942,51.44936087036228,78.65233469495148,86.72256605677414,,1.7198842,0.3753
7,1.6316497,0.39486,64.61256975157558,73.58856827050055,86.60227125926113,,1.6758674,0.3874
8,1.4611416,0.4109,68.49483546569999,77.61231333969567,87.37646512389244,,1.6202269,0.4155
9,1.4293106,0.42324,33.88147826008084,73.9980551262451,87.14237579101696,,1.594849,0.4261
10,1.3344364,0.43312,39.30853766035489,69.38694146368628,86.1758928516678,,1.6432658,0.4059
11,1.4608309,0.44516,76.26820150154325,82.06751430652403,88.64662180850164,46.11372222473105,1.5444586,0.4532
12,1.2196528,0.4485,65.65286102803324,69.2808335180968,85.6349021593003,,1.5878556,0.4324
13,1.5831113,0.4572,76.22865867599816,80.38123110175368,88.32001047190995,46.849375691808525,1.5454552,0.4468
14,1.4760783,0.46228,61.22354171252044,69.96644420101903,86.04841909220417,,1.5228622,0.4562
15,1.4233179,0.46784,67.63838520743053,70.26762359730182,86.61029738708609,,1.5361826,0.4537
16,1.3506969,0.47582,69.1589137493965,76.73552662631192,87.74704490894369,,1.5006796,0.4732
17,1.5017383,0.48,79.23985444386598,80.9131129505303,88.39458786195783,,1.496008,0.4647
18,1.7230946,0.48538,77.02482814071553,70.4057420133205,87.32801612018281,,1.501015,0.4689
19,1.401672,0.48918,,,78.21267522516123,,1.6505203,0.4291
20,1.4081511,0.49348,72.35807249312997,80.33308534105448,88.38308204148842,31.747859006810096,1.4712346,0.4769
21,1.3322053,0.49884,75.55630248963766,80.9943232159795,89.13572518227832,52.61460588411277,1.4630295,0.4816
22,1.2099133,0.49742,55.72992874000149,70.9714069278952,86.08330759087698,,1.4883698,0.4716
23,1.4384805,0.50506,61.69269111440787,69.38162300136352,86.89365953004717,,1.4600451,0.485
24,1.194776,0.50458,,47.5814648504917,83.13493471174066,,1.5489024,0.465
25,1.0348556,0.50768,63.323430971165706,68.01173082024665,87.40170706924512,,1.4863622,0.4747
26,1.33303,0.51264,56.404791750950025,73.77772785435471,87.67032370019473,34.15473916202099,1.4528525,0.4873
27,1.3425791,0.51734,,52.96736745273207,83.8464950430851,,1.5105642,0.4734
28,1.4383072,0.51718,62.74057495517141,72.28025974433899,87.30599829942925,,1.4461119,0.4872
29,1.4403298,0.5216,70.56832411064111,67.08108445719218,86.61755685696826,,1.4674705,0.4833
30,1.4159981,0.5262,66.04477491014774,77.42751761203178,88.05996761201621,,1.4772301,0.4726
31,1.1549436,0.5288,54.04791742200504,69.69958564539105,87.26225188439767,,1.4672619,0.49
32,1.4101429,0.53002,,28.95888854662343,81.9403353353998,,1.5143807,0.4801
33,1.3012543,0.53282,54.8905424023827,71.8098578324441,87.76417788193824,,1.4555441,0.4954
34,1.3138813,0.53546,65.85578306816082,71.29147424744244,87.7652661273132,23.29737623410078,1.4878327,0.4804
35,1.2968256,0.53774,51.69098904716883,67.39204857772202,87.52257938469211,26.43535233925101,1.4505664,0.4962
36,1.271809,0.54016,25.269853216807455,15.04156644425871,80.41596749140058,,1.4949478,0.4808
37,1.2585781,0.54326,49.496280454960385,68.47377070732023,86.9534622129218,,1.462888,0.4981
38,1.3053203,0.54252,59.71345369513191,57.607503849958924,85.37794758229079,,1.4468416,0.4951
39,1.3285631,0.5477,,,78.79651739163113,,1.5301638,0.4775
40,1.1672318,0.5496,47.08632176797531,37.68539760775416,82.23864381848203,,1.539267,0.48
41,1.3079792,0.54778,43.81089971917557,66.50992525849439,87.23747783534046,,1.4562516,0.4994
42,0.85600626,0.55272,61.57851292344561,66.73406037971807,86.25758810829262,,1.4513774,0.4983
43,1.2208302,0.55672,70.74766841656435,69.87757873970565,86.8596568681689,,1.4377865,0.501
44,1.2780201,0.55366,23.35747028519198,53.36074357938991,85.11390260820717,,1.481355,0.492
45,1.2694483,0.55952,39.87938824822028,,81.40926051507083,,1.5126272,0.4871
46,1.2920649,0.5605,53.06727183907609,71.75598085676899,87.39595292811966,,1.4677787,0.493
47,1.134862,0.5629,37.049508923682886,61.22546446125307,85.51619282192779,,1.4816322,0.4961
48,1.2490536,0.56322,12.626067284698108,25.196144514103946,82.93364652326245,,1.4974258,0.4908
49,1.2564851,0.56652,65.23494299497494,50.329245788809004,84.20134667966008,,1.461337,0.4974
50,1.1832253,0.56692,,17.78408074024725,79.77630895076167,,1.5005577,0.49
51,1.2487469,0.56846,75.03415150190938,64.16605816711359,86.33437509099213,,1.4710745,0.5009
52,1.1798893,0.57074,68.22603852968282,72.35973623064699,87.85438820506835,43.84365412670707,1.434186,0.5078
53,1.0779902,0.57372,69.11163058248847,62.45255198253319,86.45221811240168,,1.4736369,0.4907
54,0.9486604,0.57414,25.516885783962515,66.3344912483104,85.7754042455061,,1.4935808,0.4982
55,1.2822328,0.575,49.88105700879225,52.98869939056786,85.07269639697907,,1.4747128,0.4919
56,1.1280823,0.57744,66.99507453201973,68.51297678822843,87.23838728016275,40.49190638657913,1.4579322,0.5035
57,1.3050178,0.58088,,45.10333587634182,84.83701228183621,,1.4945658,0.4995
58,0.95055735,0.57924,40.92818562509233,40.25477605427779,83.72607784671003,,1.5114083,0.4955
59,1.2659707,0.58198,,,78.3702348715794,,1.5613885,0.4867
60,1.2690856,0.5811,36.08916735498007,30.03015151163343,84.3618000967185,,1.5704668,0.4746
61,1.2842801,0.584,72.00875547787845,70.24283425324575,87.10623827798283,,1.4686828,0.5113
62,1.2204182,0.58636,39.801156499925376,38.95326201345306,82.4094084102864,,1.5159174,0.4964
63,1.1937695,0.58596,69.43767597003887,56.75746038787395,85.67337618175075,19.179707558080146,1.4764857,0.4972
64,1.020633,0.58878,57.390224446434246,,81.62792077835405,,1.528328,0.4889
65,1.2001283,0.58884,8.071464091929439,36.8217367494993,82.41327151230351,,1.5601152,0.4906
66,1.0864985,0.59052,35.480584685832405,51.22951775763907,83.34266234301862,,1.5513709,0.4937
67,1.1154304,0.59202,37.44897247704489,,81.00231254729471,,1.5079695,0.4929
68,1.3577764,0.59414,,,79.65454031204963,,1.5717133,0.4826
69,1.0703579,0.59518,,27.70409263667436,81.41865610141367,,1.5904223,0.4886
70,1.0873295,0.59524,57.96955974956573,60.5085811925704,85.28280444596824,32.971868268212674,1.4892938,0.5044
71,1.1197121,0.59766,31.73620030029144,,79.847034443943,,1.527325,0.4983
72,0.98269624,0.5993,55.594231275372834,58.2683654381938,85.19516122383257,,1.5237006,0.5068
73,1.2188618,0.60132,,,81.50443893468405,,1.5901647,0.4794
74,1.119795,0.59888,30.456319253109086,39.313522370833226,81.57995191070503,,1.5299058,0.4896
75,1.1651838,0.60146,63.233476192808915,47.7008151030976,85.38281248465378,,1.5137156,0.5047
76,0.98673105,0.60036,,,76.20450133748568,,1.642767,0.4849
77,0.91323626,0.60192,42.394961973000974,,81.76890387939805,,1.5319227,0.4996
78,1.0173652,0.6074,,,77.13977182137701,,1.5704288,0.4871
79,0.96725243,0.60718,24.407049081469886,46.485397126535844,81.90858038774746,,1.5567074,0.4978
80,0.9411451,0.60914,63.4747377147552,45.449303136900625,85.39087210293167,2.8992215421348937,1.5516269,0.5031
81,1.0132048,0.60708,64.45058553345999,62.18853417825837,84.86824836834187,44.34957032269461,1.5187126,0.4997
82,1.0661954,0.61048,33.15228641293864,41.43720396570766,82.92212724518448,35.95885105652559,1.5731779,0.494
83,1.152559,0.6101,33.66204213709264,,64.4342012879035,,1.6028777,0.4816
84,1.2326764,0.61076,,,77.35587259377726,,1.6095805,0.4906
85,0.8096058,0.61378,35.32624578465744,,71.88561816763885,,1.5513873,0.4975
86,1.023885,0.61186,52.617704539857044,23.410857968750918,78.9073975617634,,1.5722708,0.5001
87,1.0436164,0.61542,19.274796959406213,36.63264211237676,81.99015244199416,,1.6223083,0.4907
88,0.86605865,0.61634,,,76.13894706415974,,1.6103907,0.4922
89,1.0277365,0.61774,46.3067924675867,,79.06887257886775,,1.6132852,0.4886
90,1.110407,0.61822,40.54842010656551,,77.67948436631474,,1.627823,0.4887
91,0.88819945,0.61784,57.9651694462023,39.50316194778039,80.26695323106551,,1.5874922,0.498
92,1.2130567,0.61916,25.126540060338627,,77.49822424983967,,1.6384506,0.4852
93,1.095329,0.61902,44.20827231110199,,71.61623513820378,,1.6263555,0.4938
94,0.78259313,0.6182,67.70137901132865,41.12786608543637,80.48285904371004,,1.590775,0.5001
95,1.1771091,0.62118,43.74172061019851,18.504473663541717,79.24831582483999,,1.5922729,0.4925
96,0.9616329,0.62586,,,75.46579032986985,,1.6679953,0.497
97,0.7786693,0.62544,50.40723477236157,46.97241386114127,81.21618529133755,,1.6039772,0.496
98,0.70774454,0.62586,36.72557877625927,,77.99073436651928,,1.6510252,0.4904
99,1.0506856,0.62728,41.480222000982586,,72.25623634229505,,1.7060156,0.4882
