epoch,loss,layer 0 diff,layer 1 diff,layer 2 diff,layer 3 diff,layer 4 diff,layer 5 diff
0,0.32112953,0.9669726,3.3307751e-06,0.7979577,3.2612543e-06,0.0,0.0
1,0.3480803,0.91948265,3.0118194e-06,0.77666944,3.058504e-06,0.0,0.0
2,0.35994333,0.9218424,3.2540006e-06,0.773391,3.2577116e-06,0.0,0.0
3,0.3982313,0.9404129,3.0516321e-06,0.75921625,3.0059828e-06,0.0,0.0
4,0.2603565,1.0329044,3.3089764e-06,0.9164293,3.1296263e-06,0.0,0.0
5,0.26928756,1.0533457,3.2046075e-06,0.8916087,3.2579187e-06,0.0,0.0
6,0.23834714,1.0968673,3.205394e-06,0.93883276,2.7464173e-06,0.0,0.0
7,0.23198041,1.109968,2.530964e-06,0.98491865,2.5922934e-06,0.0,0.0
8,0.23420687,1.0987784,3.2511211e-06,0.95745754,3.322019e-06,0.0,0.0
9,0.23008381,1.1240095,3.1811335e-06,0.9946143,2.9288276e-06,0.0,0.0
10,0.22297597,1.1357443,2.569292e-06,0.98609596,2.7944257e-06,0.0,0.0
11,0.22389002,1.0993968,2.8579827e-06,0.9836961,3.075922e-06,0.0,0.0
12,0.23547548,1.088517,3.0410392e-06,0.92458916,2.9487487e-06,0.0,0.0
13,0.22540419,1.0852183,3.0498732e-06,0.9458837,2.6585387e-06,0.0,0.0
14,0.22753441,1.096935,3.102183e-06,0.96262026,3.075529e-06,0.0,0.0
15,0.22290051,1.1228545,3.218575e-06,0.9806369,3.3950723e-06,0.0,0.0
16,0.22035983,1.1269265,2.6189828e-06,0.9574361,3.4093514e-06,0.0,0.0
17,0.21800241,1.113862,3.3355886e-06,0.97118634,3.524176e-06,0.0,0.0
18,0.21571453,1.092509,3.0854867e-06,0.96601987,2.8158443e-06,0.0,0.0
19,0.21368903,1.0566633,2.710283e-06,0.94993347,2.6093996e-06,0.0,0.0
20,0.22865574,1.0367534,2.6400276e-06,0.8939763,2.446898e-06,0.0,0.0
21,0.2558328,1.0589925,2.9819055e-06,0.8816287,2.7091924e-06,0.0,0.0
22,0.2368878,1.0889429,3.2362937e-06,0.8977519,3.508079e-06,0.0,0.0
23,0.23338777,1.1028508,3.2895616e-06,0.926791,3.2064895e-06,0.0,0.0
24,0.21674547,1.1396242,2.4518995e-06,0.9706284,2.909956e-06,0.0,0.0
25,0.22051173,1.0923369,2.8801674e-06,0.946024,3.192657e-06,0.0,0.0
26,0.21892273,1.1065464,3.0446472e-06,0.964081,2.8261443e-06,0.0,0.0
27,0.21714914,1.0959423,2.8873778e-06,0.95547825,2.5659676e-06,0.0,0.0
28,0.21716334,1.0550765,2.6046782e-06,0.93053645,3.589048e-06,0.0,0.0
29,0.23577797,1.0740836,3.0792592e-06,0.9074229,2.758129e-06,0.0,0.0
30,0.23351146,1.1068226,3.6036186e-06,0.9193584,2.5446257e-06,0.0,0.0
31,0.2206452,1.061519,2.7770777e-06,0.9490277,2.739642e-06,0.0,0.0
32,0.21673101,1.1134468,2.7816388e-06,0.935255,3.0651177e-06,0.0,0.0
33,0.21569966,1.1002846,2.6396988e-06,0.94140327,2.6474574e-06,0.0,0.0
34,0.24206512,1.0185257,2.7598787e-06,0.835703,3.0846604e-06,0.0,0.0
35,0.24465902,1.0716176,2.921854e-06,0.9030248,2.7024187e-06,0.0,0.0
36,0.2361866,1.1001278,2.8621375e-06,0.94676787,2.8498548e-06,0.0,0.0
37,0.22397126,1.0810972,3.3129093e-06,0.93708074,2.8310724e-06,0.0,0.0
38,0.23523262,1.0482366,2.9652504e-06,0.89435023,3.3059903e-06,0.0,0.0
39,0.22287367,1.0952321,2.8213065e-06,0.9697025,3.4175896e-06,0.0,0.0
40,0.22221081,1.1085155,3.1658537e-06,0.9555002,3.14269e-06,0.0,0.0
41,0.2169233,1.0942467,3.0654878e-06,0.92035794,2.7507194e-06,0.0,0.0
42,0.21901017,1.0658116,2.2828808e-06,0.94318664,3.207474e-06,0.0,0.0
43,0.22484812,1.0382968,2.7817675e-06,0.94144046,2.8782424e-06,0.0,0.0
44,0.22290468,1.0868106,2.233508e-06,0.926419,3.0615597e-06,0.0,0.0
45,0.22235243,1.0627614,2.5675033e-06,0.9140676,3.1073198e-06,0.0,0.0
46,0.22388716,1.070026,2.8846466e-06,0.9024652,2.6213588e-06,0.0,0.0
47,0.21101779,1.0805445,2.934932e-06,0.94784826,2.6040375e-06,0.0,0.0
48,0.21313334,1.0944507,2.7014078e-06,0.95212764,3.122254e-06,0.0,0.0
49,0.21094652,1.0414884,3.1001493e-06,0.9147871,2.7251037e-06,0.0,0.0
50,0.22872496,1.0068818,2.819493e-06,0.8644875,3.1355812e-06,0.0,0.0
51,0.2213306,1.0983876,2.5740273e-06,0.9366593,2.5266693e-06,0.0,0.0
52,0.22135574,1.0689399,3.1957254e-06,0.9293193,2.7122476e-06,0.0,0.0
53,0.22861506,1.0484211,3.0627455e-06,0.90896475,3.0648687e-06,0.0,0.0
54,0.24461333,1.0212135,3.0284862e-06,0.8425954,3.2704017e-06,0.0,0.0
55,0.25010222,1.046708,2.5193206e-06,0.8498534,2.743171e-06,0.0,0.0
56,0.22265333,1.0743207,2.8685145e-06,0.92661154,2.2718687e-06,0.0,0.0
