,epoch,num_parameters,dim,rank,loss,accuracy,val_loss,val_accuracy
0,1,4200,10,5,2.0233514308929443,0.20473332703113556,1.7196041345596313,0.2872999906539917
1,2,4200,10,5,1.529320478439331,0.38831666111946106,1.3943859338760376,0.4690000116825104
2,3,4200,10,5,1.2984699010849,0.5123000144958496,1.2164361476898193,0.5537999868392944
3,4,4200,10,5,1.1780381202697754,0.5693666934967041,1.118366003036499,0.5885999798774719
4,5,4200,10,5,1.1036733388900757,0.5921333432197571,1.0559570789337158,0.6053000092506409
5,6,4200,10,5,1.0538188219070435,0.6100999712944031,1.021649956703186,0.6261000037193298
6,7,4200,10,5,1.0212178230285645,0.6252666711807251,1.0036128759384155,0.6385999917984009
7,8,4200,10,5,0.994221031665802,0.6427500247955322,0.9897651076316833,0.6474000215530396
8,9,4200,10,5,0.9671196341514587,0.6594333052635193,0.9588848352432251,0.6632999777793884
9,10,4200,10,5,0.9371169209480286,0.6745666861534119,0.9108529090881348,0.6927000284194946
10,11,4200,10,5,0.9000195264816284,0.6925333142280579,0.8782795667648315,0.7084000110626221
11,12,4200,10,5,0.8612286448478699,0.711733341217041,0.8358298540115356,0.7214000225067139
12,13,4200,10,5,0.8164169788360596,0.7287166714668274,0.7995427846908569,0.7351999878883362
13,14,4200,10,5,0.7565475702285767,0.7544999718666077,0.7182000279426575,0.7728000283241272
14,15,4200,10,5,0.6908574104309082,0.7781166434288025,0.6639335751533508,0.7918999791145325
15,16,4200,10,5,0.6416193842887878,0.7946500182151794,0.6271741986274719,0.802299976348877
16,17,4200,10,5,0.6084811091423035,0.8066499829292297,0.6023383736610413,0.8123000264167786
17,18,4200,10,5,0.581580638885498,0.8170666694641113,0.5723561644554138,0.8245000243186951
18,19,4200,10,5,0.5592740178108215,0.8271166682243347,0.5478595495223999,0.8348000049591064
19,20,4200,10,5,0.5414682030677795,0.8340166807174683,0.5276806354522705,0.8409000039100647
20,21,4200,10,5,0.5253292918205261,0.840749979019165,0.5128412842750549,0.8435999751091003
21,22,4200,10,5,0.5096413493156433,0.8458166718482971,0.49642783403396606,0.8519999980926514
22,23,4200,10,5,0.49391576647758484,0.8519166707992554,0.477887362241745,0.85589998960495
23,24,4200,10,5,0.4772244691848755,0.8580666780471802,0.4573456048965454,0.8648999929428101
24,25,4200,10,5,0.46082600951194763,0.8634833097457886,0.44077906012535095,0.871399998664856
25,26,4200,10,5,0.4449234902858734,0.8690333366394043,0.4300733804702759,0.8734999895095825
26,27,4200,10,5,0.43147701025009155,0.8724833130836487,0.4170122444629669,0.876800000667572
27,28,4200,10,5,0.42141762375831604,0.8755000233650208,0.41387930512428284,0.8773000240325928
28,29,4200,10,5,0.4124172329902649,0.8784166574478149,0.40288016200065613,0.8798999786376953
29,30,4200,10,5,0.40524300932884216,0.8798999786376953,0.3975122272968292,0.8823000192642212
30,31,4200,10,5,0.39865538477897644,0.8823333382606506,0.397830992937088,0.8827999830245972
31,32,4200,10,5,0.3932464122772217,0.8841666579246521,0.3879687190055847,0.8859000205993652
32,33,4200,10,5,0.3876895606517792,0.8869500160217285,0.38727930188179016,0.8859999775886536
33,34,4200,10,5,0.3820371925830841,0.8887666463851929,0.38247376680374146,0.8888999819755554
34,35,4200,10,5,0.3779086768627167,0.8885666728019714,0.3772241771221161,0.8877000212669373
35,36,4200,10,5,0.3730247914791107,0.8906833529472351,0.3805566430091858,0.8884999752044678
36,37,4200,10,5,0.3690229058265686,0.8917499780654907,0.37485504150390625,0.8907999992370605
37,38,4200,10,5,0.3655605614185333,0.8935333490371704,0.38093438744544983,0.8888000249862671
38,39,4200,10,5,0.36148807406425476,0.8946166634559631,0.3680485486984253,0.892300009727478
39,40,4200,10,5,0.3583265542984009,0.8953999876976013,0.36436980962753296,0.8952000141143799
40,41,4200,10,5,0.35504671931266785,0.8970000147819519,0.3610582649707794,0.8931999802589417
41,42,4200,10,5,0.35272425413131714,0.8974833488464355,0.36979103088378906,0.8928999900817871
42,43,4200,10,5,0.3494888246059418,0.8982999920845032,0.3624960482120514,0.8945000171661377
43,44,4200,10,5,0.3459445834159851,0.8992166519165039,0.3557857275009155,0.8962000012397766
44,45,4200,10,5,0.34348294138908386,0.8998833298683167,0.35836249589920044,0.8966000080108643
45,46,4200,10,5,0.3404964804649353,0.9018666744232178,0.3546099066734314,0.8959000110626221
46,47,4200,10,5,0.3372045159339905,0.9019166827201843,0.3455827534198761,0.9009000062942505
47,48,4200,10,5,0.3340391218662262,0.9034000039100647,0.35101932287216187,0.8988999724388123
48,49,4200,10,5,0.330818235874176,0.9044833183288574,0.34254589676856995,0.9006999731063843
49,50,4200,10,5,0.32851696014404297,0.9042999744415283,0.3414686620235443,0.9003000259399414
50,1,8270,10,10,1.828816294670105,0.2653833329677582,1.5673619508743286,0.36910000443458557
51,2,8270,10,10,1.4361552000045776,0.44313332438468933,1.331906795501709,0.5013999938964844
52,3,8270,10,10,1.260318398475647,0.5511333346366882,1.2038911581039429,0.5928000211715698
53,4,8270,10,10,1.1442831754684448,0.6170666813850403,1.1100598573684692,0.6388000249862671
54,5,8270,10,10,1.0317555665969849,0.670799970626831,0.979584276676178,0.6929000020027161
55,6,8270,10,10,0.8935093283653259,0.7177333235740662,0.8423224687576294,0.7365000247955322
56,7,8270,10,10,0.784221887588501,0.7558666467666626,0.7475675344467163,0.7639999985694885
57,8,8270,10,10,0.7241372466087341,0.7735499739646912,0.7115069031715393,0.7770000100135803
58,9,8270,10,10,0.6880565285682678,0.783050000667572,0.6903876662254333,0.7851999998092651
59,10,8270,10,10,0.6647186279296875,0.7903500199317932,0.6662873029708862,0.7886999845504761
60,11,8270,10,10,0.6446516513824463,0.7958333492279053,0.6384642720222473,0.8004000186920166
61,12,8270,10,10,0.622901201248169,0.8039500117301941,0.615169882774353,0.8066999912261963
62,13,8270,10,10,0.5955764055252075,0.8119833469390869,0.5839418768882751,0.8191999793052673
63,14,8270,10,10,0.5660315155982971,0.8213666677474976,0.5608314275741577,0.8234000205993652
64,15,8270,10,10,0.541092038154602,0.8302666544914246,0.5391627550125122,0.8327000141143799
65,16,8270,10,10,0.5224875211715698,0.8356333374977112,0.5229955315589905,0.838100016117096
66,17,8270,10,10,0.5036875605583191,0.8412500023841858,0.510277271270752,0.84579998254776
67,18,8270,10,10,0.48372623324394226,0.8495333194732666,0.48379483819007874,0.8543999791145325
68,19,8270,10,10,0.45121464133262634,0.8605666756629944,0.4395745098590851,0.8705999851226807
69,20,8270,10,10,0.40601325035095215,0.8779833316802979,0.39597806334495544,0.8844000101089478
70,21,8270,10,10,0.37860822677612305,0.8875499963760376,0.38365283608436584,0.8860999941825867
71,22,8270,10,10,0.3627546727657318,0.8924999833106995,0.367779016494751,0.8917999863624573
72,23,8270,10,10,0.3521732985973358,0.8964333534240723,0.35524171590805054,0.895799994468689
73,24,8270,10,10,0.3418094217777252,0.8989499807357788,0.3558124899864197,0.8971999883651733
74,25,8270,10,10,0.33221080899238586,0.9021166563034058,0.34086230397224426,0.9023000001907349
75,26,8270,10,10,0.3233467638492584,0.9047166705131531,0.3383631408214569,0.8992999792098999
76,27,8270,10,10,0.3151845932006836,0.9073666930198669,0.33081650733947754,0.9018999934196472
77,28,8270,10,10,0.307491660118103,0.9101166725158691,0.3218480348587036,0.906000018119812
